TransactionNo,Items,DateTime,Daypart,DayType,Date,Time,Year,Month,Hour
1,bread,2016-10-30 09:58:11,morning,weekend,2016-10-30,09:58:11,2016,10,9
2,scandinavian,2016-10-30 10:05:34,morning,weekend,2016-10-30,10:05:34,2016,10,10
2,scandinavian,2016-10-30 10:05:34,morning,weekend,2016-10-30,10:05:34,2016,10,10
3,hot chocolate,2016-10-30 10:07:57,morning,weekend,2016-10-30,10:07:57,2016,10,10
3,jam,2016-10-30 10:07:57,morning,weekend,2016-10-30,10:07:57,2016,10,10
3,cookies,2016-10-30 10:07:57,morning,weekend,2016-10-30,10:07:57,2016,10,10
4,muffin,2016-10-30 10:08:41,morning,weekend,2016-10-30,10:08:41,2016,10,10
5,coffee,2016-10-30 10:13:03,morning,weekend,2016-10-30,10:13:03,2016,10,10
5,pastry,2016-10-30 10:13:03,morning,weekend,2016-10-30,10:13:03,2016,10,10
5,bread,2016-10-30 10:13:03,morning,weekend,2016-10-30,10:13:03,2016,10,10
6,medialuna,2016-10-30 10:16:55,morning,weekend,2016-10-30,10:16:55,2016,10,10
6,pastry,2016-10-30 10:16:55,morning,weekend,2016-10-30,10:16:55,2016,10,10
6,muffin,2016-10-30 10:16:55,morning,weekend,2016-10-30,10:16:55,2016,10,10
7,medialuna,2016-10-30 10:19:12,morning,weekend,2016-10-30,10:19:12,2016,10,10
7,pastry,2016-10-30 10:19:12,morning,weekend,2016-10-30,10:19:12,2016,10,10
7,coffee,2016-10-30 10:19:12,morning,weekend,2016-10-30,10:19:12,2016,10,10
7,tea,2016-10-30 10:19:12,morning,weekend,2016-10-30,10:19:12,2016,10,10
8,pastry,2016-10-30 10:20:51,morning,weekend,2016-10-30,10:20:51,2016,10,10
8,bread,2016-10-30 10:20:51,morning,weekend,2016-10-30,10:20:51,2016,10,10
9,bread,2016-10-30 10:21:59,morning,weekend,2016-10-30,10:21:59,2016,10,10
9,muffin,2016-10-30 10:21:59,morning,weekend,2016-10-30,10:21:59,2016,10,10
10,scandinavian,2016-10-30 10:25:58,morning,weekend,2016-10-30,10:25:58,2016,10,10
10,medialuna,2016-10-30 10:25:58,morning,weekend,2016-10-30,10:25:58,2016,10,10
11,bread,2016-10-30 10:27:21,morning,weekend,2016-10-30,10:27:21,2016,10,10
11,medialuna,2016-10-30 10:27:21,morning,weekend,2016-10-30,10:27:21,2016,10,10
11,bread,2016-10-30 10:27:21,morning,weekend,2016-10-30,10:27:21,2016,10,10
12,jam,2016-10-30 10:30:14,morning,weekend,2016-10-30,10:30:14,2016,10,10
12,coffee,2016-10-30 10:30:14,morning,weekend,2016-10-30,10:30:14,2016,10,10
12,tartine,2016-10-30 10:30:14,morning,weekend,2016-10-30,10:30:14,2016,10,10
12,pastry,2016-10-30 10:30:14,morning,weekend,2016-10-30,10:30:14,2016,10,10
12,tea,2016-10-30 10:30:14,morning,weekend,2016-10-30,10:30:14,2016,10,10
13,basket,2016-10-30 10:31:24,morning,weekend,2016-10-30,10:31:24,2016,10,10
13,bread,2016-10-30 10:31:24,morning,weekend,2016-10-30,10:31:24,2016,10,10
13,coffee,2016-10-30 10:31:24,morning,weekend,2016-10-30,10:31:24,2016,10,10
14,bread,2016-10-30 10:32:46,morning,weekend,2016-10-30,10:32:46,2016,10,10
14,medialuna,2016-10-30 10:32:46,morning,weekend,2016-10-30,10:32:46,2016,10,10
14,pastry,2016-10-30 10:32:46,morning,weekend,2016-10-30,10:32:46,2016,10,10
15,mineral water,2016-10-30 10:34:36,morning,weekend,2016-10-30,10:34:36,2016,10,10
15,scandinavian,2016-10-30 10:34:36,morning,weekend,2016-10-30,10:34:36,2016,10,10
16,bread,2016-10-30 10:37:08,morning,weekend,2016-10-30,10:37:08,2016,10,10
16,medialuna,2016-10-30 10:37:08,morning,weekend,2016-10-30,10:37:08,2016,10,10
